PG_NAZIONE,CD_GRUPPO_INQUADRAMENTO,DT_INIZIO_VALIDITA,IM_DIARIA,CD_DIVISA,DT_FINE_VALIDITA,UTCR,UTUV,PG_VER_REC
76,"6","2006-07-04","109.09","EURO","2200-12-31","SYSTEM","SYSTEM","1"
76,"7","2006-07-04","141.9","EURO","2200-12-31","SYSTEM","SYSTEM","1"
76,"8","2006-07-04","141.9","EURO","2200-12-31","SYSTEM","SYSTEM","1"
77,"1","2006-07-04","125.11","EURO","2200-12-31","SYSTEM","SYSTEM","1"
77,"2","2006-07-04","131.22","EURO","2200-12-31","SYSTEM","SYSTEM","1"
77,"3","2006-07-04","125.11","EURO","2200-12-31","SYSTEM","SYSTEM","1"
77,"4","2006-07-04","119.78","EURO","2200-12-31","SYSTEM","SYSTEM","1"
77,"5","2006-07-04","101.46","EURO","2200-12-31","SYSTEM","SYSTEM","1"
77,"6","2006-07-04","101.46","EURO","2200-12-31","SYSTEM","SYSTEM","1"
77,"7","2006-07-04","131.22","EURO","2200-12-31","SYSTEM","SYSTEM","1"
77,"8","2006-07-04","131.22","EURO","2200-12-31","SYSTEM","SYSTEM","1"
78,"1","2006-07-04","170.89","EURO","2200-12-31","SYSTEM","SYSTEM","1"
78,"2","2006-07-04","177.75","EURO","2200-12-31","SYSTEM","SYSTEM","1"
78,"3","2006-07-04","170.89","EURO","2200-12-31","SYSTEM","SYSTEM","1"
78,"4","2006-07-04","164.02","EURO","2200-12-31","SYSTEM","SYSTEM","1"
78,"5","2006-07-04","154.86","EURO","2200-12-31","SYSTEM","SYSTEM","1"
78,"6","2006-07-04","154.86","EURO","2200-12-31","SYSTEM","SYSTEM","1"
78,"7","2006-07-04","177.75","EURO","2200-12-31","SYSTEM","SYSTEM","1"
78,"8","2006-07-04","177.75","EURO","2200-12-31","SYSTEM","SYSTEM","1"
80,"1","2006-07-04","102.99","EURO","2200-12-31","SYSTEM","SYSTEM","1"
80,"2","2006-07-04","108.33","EURO","2200-12-31","SYSTEM","SYSTEM","1"
80,"3","2006-07-04","102.99","EURO","2200-12-31","SYSTEM","SYSTEM","1"
80,"4","2006-07-04","97.65","EURO","2200-12-31","SYSTEM","SYSTEM","1"
80,"5","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
80,"6","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
80,"7","2006-07-04","108.33","EURO","2200-12-31","SYSTEM","SYSTEM","1"
80,"8","2006-07-04","108.33","EURO","2200-12-31","SYSTEM","SYSTEM","1"
81,"1","2006-07-04","90.02","EURO","2200-12-31","SYSTEM","SYSTEM","1"
81,"2","2006-07-04","94.6","EURO","2200-12-31","SYSTEM","SYSTEM","1"
81,"3","2006-07-04","90.02","EURO","2200-12-31","SYSTEM","SYSTEM","1"
81,"4","2006-07-04","85.44","EURO","2200-12-31","SYSTEM","SYSTEM","1"
81,"5","2006-07-04","72.47","EURO","2200-12-31","SYSTEM","SYSTEM","1"
81,"6","2006-07-04","72.47","EURO","2200-12-31","SYSTEM","SYSTEM","1"
81,"7","2006-07-04","94.6","EURO","2200-12-31","SYSTEM","SYSTEM","1"
81,"8","2006-07-04","94.6","EURO","2200-12-31","SYSTEM","SYSTEM","1"
82,"1","2006-07-04","106.8","EURO","2200-12-31","SYSTEM","SYSTEM","1"
82,"2","2006-07-04","111.38","EURO","2200-12-31","SYSTEM","SYSTEM","1"
82,"3","2006-07-04","106.8","EURO","2200-12-31","SYSTEM","SYSTEM","1"
82,"4","2006-07-04","101.46","EURO","2200-12-31","SYSTEM","SYSTEM","1"
82,"5","2006-07-04","88.5","EURO","2200-12-31","SYSTEM","SYSTEM","1"
82,"6","2006-07-04","88.5","EURO","2200-12-31","SYSTEM","SYSTEM","1"
82,"7","2006-07-04","111.38","EURO","2200-12-31","SYSTEM","SYSTEM","1"
82,"8","2006-07-04","111.38","EURO","2200-12-31","SYSTEM","SYSTEM","1"
83,"1","2006-07-04","95.36","EURO","2200-12-31","SYSTEM","SYSTEM","1"
83,"2","2006-07-04","103.75","EURO","2200-12-31","SYSTEM","SYSTEM","1"
83,"3","2006-07-04","95.36","EURO","2200-12-31","SYSTEM","SYSTEM","1"
83,"4","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
83,"5","2006-07-04","80.86","EURO","2200-12-31","SYSTEM","SYSTEM","1"
83,"6","2006-07-04","80.86","EURO","2200-12-31","SYSTEM","SYSTEM","1"
83,"7","2006-07-04","103.75","EURO","2200-12-31","SYSTEM","SYSTEM","1"
83,"8","2006-07-04","103.75","EURO","2200-12-31","SYSTEM","SYSTEM","1"
84,"1","2006-07-04","141.9","EURO","2200-12-31","SYSTEM","SYSTEM","1"
84,"2","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
84,"3","2006-07-04","141.9","EURO","2200-12-31","SYSTEM","SYSTEM","1"
84,"4","2006-07-04","135.79","EURO","2200-12-31","SYSTEM","SYSTEM","1"
84,"5","2006-07-04","115.19","EURO","2200-12-31","SYSTEM","SYSTEM","1"
84,"6","2006-07-04","115.19","EURO","2200-12-31","SYSTEM","SYSTEM","1"
84,"7","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
84,"8","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
85,"1","2006-07-04","90.02","EURO","2200-12-31","SYSTEM","SYSTEM","1"
85,"2","2006-07-04","96.12","EURO","2200-12-31","SYSTEM","SYSTEM","1"
85,"3","2006-07-04","90.02","EURO","2200-12-31","SYSTEM","SYSTEM","1"
85,"4","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
85,"5","2006-07-04","74","EURO","2200-12-31","SYSTEM","SYSTEM","1"
85,"6","2006-07-04","74","EURO","2200-12-31","SYSTEM","SYSTEM","1"
