TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,TI_GESTIONE_SIOPE,CD_SIOPE,UTCR,UTUV,PG_VER_REC
"D","S","11036","S","1010202002","SYSTEM","SYSTEM","1"
"D","S","11037","S","1010202003","SYSTEM","SYSTEM","1"
"D","S","11038","S","1010202003","SYSTEM","SYSTEM","1"
"D","S","11039","S","1010202003","SYSTEM","SYSTEM","1"
"D","S","11040","S","1010202003","SYSTEM","SYSTEM","1"
"D","S","11041","S","1010202003","SYSTEM","SYSTEM","1"
"D","S","11042","S","1010102999","SYSTEM","SYSTEM","1"
"D","S","11043","S","1010101004","SYSTEM","SYSTEM","1"
"D","S","11044","S","1010101008","SYSTEM","SYSTEM","1"
"D","S","11045","S","1010101008","SYSTEM","SYSTEM","1"
"D","S","11046","S","1010101008","SYSTEM","SYSTEM","1"
"D","S","11047","S","1010201002","SYSTEM","SYSTEM","1"
"D","S","12001","S","1020101001","SYSTEM","SYSTEM","1"
"D","S","12002","S","1020101001","SYSTEM","SYSTEM","1"
"D","S","12003","S","1020101001","SYSTEM","SYSTEM","1"
"D","S","12004","S","1020101001","SYSTEM","SYSTEM","1"
"D","S","12005","S","1020101001","SYSTEM","SYSTEM","1"
"D","S","12006","S","1020102001","SYSTEM","SYSTEM","1"
"D","S","12007","S","1020103001","SYSTEM","SYSTEM","1"
"D","S","12008","S","1020104001","SYSTEM","SYSTEM","1"
"D","S","12009","S","1020105001","SYSTEM","SYSTEM","1"
"D","S","12010","S","1020106001","SYSTEM","SYSTEM","1"
"D","S","12011","S","1020107001","SYSTEM","SYSTEM","1"
"D","S","12012","S","1020108001","SYSTEM","SYSTEM","1"
"D","S","12013","S","1020109001","SYSTEM","SYSTEM","1"
"D","S","12014","S","1020110001","SYSTEM","SYSTEM","1"
"D","S","12015","S","1020111001","SYSTEM","SYSTEM","1"
"D","S","12016","S","1020112001","SYSTEM","SYSTEM","1"
"D","S","12017","S","1020114001","SYSTEM","SYSTEM","1"
"D","S","12018","S","1020199999","SYSTEM","SYSTEM","1"
"D","S","13001","S","1030101001","SYSTEM","SYSTEM","1"
"D","S","13002","S","1030101002","SYSTEM","SYSTEM","1"
"D","S","13003","S","1030102001","SYSTEM","SYSTEM","1"
"D","S","13004","S","1030102002","SYSTEM","SYSTEM","1"
"D","S","13005","S","1030102002","SYSTEM","SYSTEM","1"
"D","S","13006","S","1030102002","SYSTEM","SYSTEM","1"
"D","S","13007","S","1030102002","SYSTEM","SYSTEM","1"
"D","S","13008","S","1030102003","SYSTEM","SYSTEM","1"
"D","S","13009","S","1030102004","SYSTEM","SYSTEM","1"
"D","S","13010","S","1030102005","SYSTEM","SYSTEM","1"
"D","S","13011","S","1030102006","SYSTEM","SYSTEM","1"
"D","S","13012","S","1030102007","SYSTEM","SYSTEM","1"
"D","S","13013","S","1030102008","SYSTEM","SYSTEM","1"
"D","S","13014","S","1030102009","SYSTEM","SYSTEM","1"
"D","S","13015","S","1030102011","SYSTEM","SYSTEM","1"
"D","S","13016","S","1030102014","SYSTEM","SYSTEM","1"
"D","S","13017","S","1030102999","SYSTEM","SYSTEM","1"
"D","S","13018","S","1030103001","SYSTEM","SYSTEM","1"
"D","S","13019","S","1030103002","SYSTEM","SYSTEM","1"
"D","S","13020","S","1030105001","SYSTEM","SYSTEM","1"
"D","S","13021","S","1030105002","SYSTEM","SYSTEM","1"
"D","S","13022","S","1030105003","SYSTEM","SYSTEM","1"
"D","S","13023","S","1030105004","SYSTEM","SYSTEM","1"
"D","S","13024","S","1030105006","SYSTEM","SYSTEM","1"
"D","S","13025","S","1030105007","SYSTEM","SYSTEM","1"
"D","S","13026","S","1030105999","SYSTEM","SYSTEM","1"
"D","S","13027","S","1030201001","SYSTEM","SYSTEM","1"
"D","S","13028","S","1030201002","SYSTEM","SYSTEM","1"
"D","S","13029","S","1030201008","SYSTEM","SYSTEM","1"
"D","S","13030","S","1030202001","SYSTEM","SYSTEM","1"
"D","S","13031","S","1030202001","SYSTEM","SYSTEM","1"
"D","S","13032","S","1030202001","SYSTEM","SYSTEM","1"
"D","S","13033","S","1030202002","SYSTEM","SYSTEM","1"
"D","S","13034","S","1030202002","SYSTEM","SYSTEM","1"
"D","S","13035","S","1030202002","SYSTEM","SYSTEM","1"
"D","S","13036","S","1030202002","SYSTEM","SYSTEM","1"
"D","S","13037","S","1030202004","SYSTEM","SYSTEM","1"
"D","S","13038","S","1030202005","SYSTEM","SYSTEM","1"
