PG_COMUNE,CD_CAP,UTCR,UTUV,PG_VER_REC
5562,"00168","SYSTEM","SYSTEM","1"
5562,"00169","SYSTEM","SYSTEM","1"
5562,"00170","SYSTEM","SYSTEM","1"
5562,"00171","SYSTEM","SYSTEM","1"
5562,"00172","SYSTEM","SYSTEM","1"
5562,"00173","SYSTEM","SYSTEM","1"
5562,"00174","SYSTEM","SYSTEM","1"
5562,"00175","SYSTEM","SYSTEM","1"
5562,"00176","SYSTEM","SYSTEM","1"
5562,"00177","SYSTEM","SYSTEM","1"
5562,"00178","SYSTEM","SYSTEM","1"
5562,"00179","SYSTEM","SYSTEM","1"
5562,"00180","SYSTEM","SYSTEM","1"
5562,"00181","SYSTEM","SYSTEM","1"
5562,"00182","SYSTEM","SYSTEM","1"
5562,"00183","SYSTEM","SYSTEM","1"
5562,"00184","SYSTEM","SYSTEM","1"
5562,"00185","SYSTEM","SYSTEM","1"
5562,"00186","SYSTEM","SYSTEM","1"
5562,"00187","SYSTEM","SYSTEM","1"
5562,"00188","SYSTEM","SYSTEM","1"
5562,"00189","SYSTEM","SYSTEM","1"
5562,"00190","SYSTEM","SYSTEM","1"
5562,"00191","SYSTEM","SYSTEM","1"
5562,"00192","SYSTEM","SYSTEM","1"
5562,"00193","SYSTEM","SYSTEM","1"
5562,"00195","SYSTEM","SYSTEM","1"
5562,"00196","SYSTEM","SYSTEM","1"
5562,"00197","SYSTEM","SYSTEM","1"
5562,"00198","SYSTEM","SYSTEM","1"
5562,"00199","SYSTEM","SYSTEM","1"
5710,"84121","SYSTEM","SYSTEM","1"
5710,"84122","SYSTEM","SYSTEM","1"
5710,"84123","SYSTEM","SYSTEM","1"
5710,"84124","SYSTEM","SYSTEM","1"
5710,"84125","SYSTEM","SYSTEM","1"
5710,"84126","SYSTEM","SYSTEM","1"
5710,"84127","SYSTEM","SYSTEM","1"
5710,"84128","SYSTEM","SYSTEM","1"
5710,"84129","SYSTEM","SYSTEM","1"
5710,"84130","SYSTEM","SYSTEM","1"
5710,"84131","SYSTEM","SYSTEM","1"
5710,"84132","SYSTEM","SYSTEM","1"
5710,"84133","SYSTEM","SYSTEM","1"
5710,"84134","SYSTEM","SYSTEM","1"
5710,"84135","SYSTEM","SYSTEM","1"
5894,"56010","SYSTEM","SYSTEM","1"
5894,"56017","SYSTEM","SYSTEM","1"
5931,"51022","SYSTEM","SYSTEM","1"
6280,"07040","SYSTEM","SYSTEM","1"
6288,"40044","SYSTEM","SYSTEM","1"
6467,"50019","SYSTEM","SYSTEM","1"
6740,"74121","SYSTEM","SYSTEM","1"
6740,"74122","SYSTEM","SYSTEM","1"
6740,"74123","SYSTEM","SYSTEM","1"
6874,"10121","SYSTEM","SYSTEM","1"
6874,"10122","SYSTEM","SYSTEM","1"
6874,"10123","SYSTEM","SYSTEM","1"
6874,"10124","SYSTEM","SYSTEM","1"
6874,"10125","SYSTEM","SYSTEM","1"
