"cd_nodo","ds_nodo","cd_accesso","business_process","pg_ordinamento","fl_terminale","livello","url_icona","cd_proprio_nodo","dacr","utcr","duva","utuv","pg_ver_rec","cd_nodo_padre","url_icona_open"
"0.PRV.PDGEST.VARIAZIONI.V","visualizzazione","PRVPDGVARIAZIONIV","PdGVariazioneBP","20","Y","4","NULL","V","2005-08-05T11:14:18.000","SPASIA","2005-08-05T11:14:18.000","SPASIA","1","0.PRV.PDGEST.VARIAZIONI","NULL"
"0.PRV.PDGMODAGG.CON.PDGPIST","PdGP per Istituto/Area","NULL","NULL","20","N","4","NULL","PDGPIST","2005-11-16T17:37:49.000","ADMIN","2005-11-16T17:37:49.000","ADMIN","1","0.PRV.PDGMODAGG.CON","NULL"
"0.PRV.PDGMODAGG.CON.PDGPIST.ETR","entrate","CONSPDGPISTETR","ConsPDGPIstEtrBP","10","Y","4","NULL","ETR","2005-11-16T17:37:54.000","ADMIN","2005-11-16T17:37:54.000","ADMIN","1","0.PRV.PDGMODAGG.CON.PDGPIST","NULL"
"0.PRV.PDGMODAGG.CON.PDGPIST.SPE","spese","CONSPDGPISTSPE","ConsPDGPIstSpeBP","20","Y","4","NULL","SPE","2005-11-16T17:37:57.000","ADMIN","2005-11-16T17:37:57.000","ADMIN","1","0.PRV.PDGMODAGG.CON.PDGPIST","NULL"
"0.DOC.OBBLIG.OBBRESPRO.C","creazione","DOCOBBCOREOBBRESPROC","CRUDObbligazioneResCreazioneBP","30","Y","4","NULL","C","2006-02-09T17:16:24.000","AMMINISTRATORE","2006-02-09T17:16:24.000","AMMINISTRATORE","1","0.DOC.OBBLIG.OBBRESPRO","NULL"
"0.DOC.STIPEN.OBBLIGA","Elenco Impegni per Stipendi","NULL","NULL","5","N","3","NULL","OBBLIGA","2006-10-23T16:26:08.000","CED","2006-10-23T16:26:08.000","CED","1","0.DOC.STIPEN","NULL"
"0.DOC.STIPEN.OBBLIGA.M","gestione","DOCSTIPENDIOBBLIGAM","StipendiCofiObbBP","2","Y","4","NULL","M","2006-10-23T16:26:08.000","CED","2006-10-23T16:26:08.000","CED","1","0.DOC.STIPEN.OBBLIGA","NULL"
"0.DOC.STIPEN.OBBLIGA.V","visualizzazione","DOCSTIPENDIOBBLIGAV","StipendiCofiObbBP","1","Y","4","NULL","V","2006-10-23T16:26:08.000","CED","2006-10-23T16:26:08.000","CED","1","0.DOC.STIPEN.OBBLIGA","NULL"
"0.CNS.RNDFIN.DECGES","stampa rend. finanziario Decisionale/Gestionale","CNSRNDFINGESTDECIS","Stampa_rendiconto_finanziarioBP","10","Y","3","NULL","CNRCDS","2007-01-05T14:37:40.000","$$$$$MIGRAZIONE$$$$$","2007-01-05T14:37:40.000","$$$$$MIGRAZIONE$$$$$","1","0.CNS.RNDFIN","NULL"
"0.CFG.SIOPE","Siope","NULL","NULL","110","N","2","NULL","SIOPE","2007-05-16T15:43:28.000","FG","2007-05-16T15:43:28.000","FG","1","0.CFG","NULL"
"0.CFG.SIOPE.M","gestione","CFGSIOPEM","CRUDCodiciSiopeBP","2","Y","3","NULL","M","2007-05-16T15:43:28.000","FG","2007-05-16T15:43:28.000","FG","1","0.CFG.SIOPE","NULL"
