"cd_trattamento","cd_contributo_ritenuta","dt_inizio_validita","id_riga","segno","calcolo_imponibile","dt_fine_validita","dacr","utcr","duva","utuv","pg_ver_rec"
"T256SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T257SP","RIVALSA4","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T257SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T259SP","IVA","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T155SP","RIVALSA2","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T155SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T257CSP","RIVALSA4","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"T021CSP","RAIRPEF","2017-07-01T00:00:00.000","002","-","+001E","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"T019CSP","RAIRPEF","2017-07-01T00:00:00.000","002","-","000","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"T019CSP","RIVALSA2","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"T021CSP","RIVALSA4","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"T048CSP","RAIRPEF","2017-07-01T00:00:00.000","001","-","000","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"T121CSP","RIVALSA4CP","2017-07-01T00:00:00.000","001","+","000","2200-12-31T01:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"T121CSP","RAIRPEF","2017-07-01T00:00:00.000","002","-","000","2200-12-31T01:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"R048CSP","RAIRPEF","2017-07-01T00:00:00.000","001","-","000","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"R121CSP","RIVALSA4CP","2017-07-01T00:00:00.000","001","+","000","2200-12-31T01:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"R121CSP","RAIRPEF","2017-07-01T00:00:00.000","002","-","000","2200-12-31T01:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
