"cd_trattamento","cd_ti_compenso","dt_inizio_validita","ds_ti_compenso","fl_registra_fattura","fl_diaria","dt_fine_validita","duva","utcr","dacr","utuv","pg_ver_rec"
"T146","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"T048SC","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"T152","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"T152C","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R017","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R017C","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R019","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R019C","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R020","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R020C","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
